x,yi,pi
-2,2,2
-1.9596,1.9596,2.0224
-1.91919,1.91919,2.03607
-1.87879,1.87879,2.04152
-1.83838,1.83838,2.03925
-1.79798,1.79798,2.02976
-1.75758,1.75758,2.01352
-1.71717,1.71717,1.99101
-1.67677,1.67677,1.96267
-1.63636,1.63636,1.92897
-1.59596,1.59596,1.89033
-1.55556,1.55556,1.84718
-1.51515,1.51515,1.79994
-1.47475,1.47475,1.74901
-1.43434,1.43434,1.69479
-1.39394,1.39394,1.63766
-1.35354,1.35354,1.57799
-1.31313,1.31313,1.51616
-1.27273,1.27273,1.4525
-1.23232,1.23232,1.38736
-1.19192,1.19192,1.32107
-1.15152,1.15152,1.25394
-1.11111,1.11111,1.1863
-1.07071,1.07071,1.11844
-1.0303,1.0303,1.05064
-0.989899,0.989899,0.983183
-0.949495,0.949495,0.916335
-0.909091,0.909091,0.850352
-0.868687,0.868687,0.785479
-0.828283,0.828283,0.72195
-0.787879,0.787879,0.659989
-0.747475,0.747475,0.599811
-0.707071,0.707071,0.541616
-0.666667,0.666667,0.485597
-0.626263,0.626263,0.431935
-0.585859,0.585859,0.380801
-0.545455,0.545455,0.332354
-0.505051,0.505051,0.286745
-0.464646,0.464646,0.244111
-0.424242,0.424242,0.20458
-0.383838,0.383838,0.168269
-0.343434,0.343434,0.135286
-0.30303,0.30303,0.105727
-0.262626,0.262626,0.0796751
-0.222222,0.222222,0.0572067
-0.181818,0.181818,0.0383854
-0.141414,0.141414,0.0232643
-0.10101,0.10101,0.0118862
-0.0606061,0.0606061,0.00428303
-0.020202,0.020202,0.000476114
0.020202,0.020202,0.000476114
0.0606061,0.0606061,0.00428303
0.10101,0.10101,0.0118862
0.141414,0.141414,0.0232643
0.181818,0.181818,0.0383854
0.222222,0.222222,0.0572067
0.262626,0.262626,0.0796751
0.30303,0.30303,0.105727
0.343434,0.343434,0.135286
0.383838,0.383838,0.168269
0.424242,0.424242,0.20458
0.464646,0.464646,0.244111
0.505051,0.505051,0.286745
0.545455,0.545455,0.332354
0.585859,0.585859,0.380801
0.626263,0.626263,0.431935
0.666667,0.666667,0.485597
0.707071,0.707071,0.541616
0.747475,0.747475,0.599811
0.787879,0.787879,0.659989
0.828283,0.828283,0.72195
0.868687,0.868687,0.785479
0.909091,0.909091,0.850352
0.949495,0.949495,0.916335
0.989899,0.989899,0.983183
1.0303,1.0303,1.05064
1.07071,1.07071,1.11844
1.11111,1.11111,1.1863
1.15152,1.15152,1.25394
1.19192,1.19192,1.32107
1.23232,1.23232,1.38736
1.27273,1.27273,1.4525
1.31313,1.31313,1.51616
1.35354,1.35354,1.57799
1.39394,1.39394,1.63766
1.43434,1.43434,1.69479
1.47475,1.47475,1.74901
1.51515,1.51515,1.79994
1.55556,1.55556,1.84718
1.59596,1.59596,1.89033
1.63636,1.63636,1.92897
1.67677,1.67677,1.96267
1.71717,1.71717,1.99101
1.75758,1.75758,2.01352
1.79798,1.79798,2.02976
1.83838,1.83838,2.03925
1.87879,1.87879,2.04152
1.91919,1.91919,2.03607
1.9596,1.9596,2.0224
2,2,2
