x,yi,pi
-0.585,-0.43499,-0.43499
-0.575,-0.418349,-0.418389
-0.565,-0.401913,-0.401989
-0.555,-0.385681,-0.385789
-0.545,-0.369652,-0.369789
-0.535,-0.353828,-0.353989
-0.525,-0.338207,-0.33839
-0.515,-0.322788,-0.32299
-0.505,-0.307573,-0.30779
-0.495,-0.292561,-0.292791
-0.485,-0.277751,-0.277991
-0.475,-0.263143,-0.263391
-0.465,-0.248736,-0.24899
-0.455,-0.234532,-0.234789
-0.445,-0.220529,-0.220787
-0.435,-0.206727,-0.206985
-0.425,-0.193126,-0.193382
-0.415,-0.179725,-0.179978
-0.405,-0.166525,-0.166772
-0.395,-0.153525,-0.153766
-0.385,-0.140725,-0.140959
-0.375,-0.128124,-0.12835
-0.365,-0.115723,-0.115939
-0.355,-0.103521,-0.103727
-0.345,-0.0915181,-0.0917128
-0.335,-0.0797136,-0.0798967
-0.325,-0.0681074,-0.0682784
-0.315,-0.0566994,-0.0568579
-0.305,-0.0454892,-0.0456349
-0.295,-0.0344767,-0.0346092
-0.285,-0.0236615,-0.0237808
-0.275,-0.0130435,-0.0131493
-0.265,-0.0026223,-0.00271469
-0.255,0.00760229,0.00752329
-0.245,0.0176305,0.0175648
-0.235,0.0274627,0.0274101
-0.225,0.037099,0.0370593
-0.215,0.0465397,0.0465126
-0.205,0.0557851,0.0557703
-0.195,0.0648355,0.0648326
-0.185,0.073691,0.0736996
-0.175,0.082352,0.0823716
-0.165,0.0908187,0.0908489
-0.155,0.0990915,0.0991316
-0.145,0.10717,0.10722
-0.135,0.115056,0.115114
-0.125,0.122748,0.122815
-0.115,0.130247,0.130322
-0.105,0.137554,0.137635
-0.095,0.144668,0.144756
-0.085,0.15159,0.151684
-0.075,0.158321,0.158419
-0.065,0.164859,0.164962
-0.055,0.171207,0.171313
-0.045,0.177363,0.177472
-0.035,0.183328,0.18344
-0.025,0.189104,0.189216
-0.015,0.194689,0.194802
-0.005,0.200084,0.200197
0.005,0.205289,0.205402
0.015,0.210305,0.210417
0.025,0.215132,0.215242
0.035,0.219771,0.219878
0.045,0.224221,0.224325
0.055,0.228483,0.228583
0.065,0.232557,0.232653
0.075,0.236444,0.236535
0.085,0.240143,0.240229
0.095,0.243656,0.243736
0.105,0.246982,0.247056
0.115,0.250121,0.250189
0.125,0.253075,0.253136
0.135,0.255844,0.255897
0.145,0.258426,0.258472
0.155,0.260825,0.260863
0.165,0.263038,0.263068
0.175,0.265067,0.265089
0.185,0.266912,0.266925
0.195,0.268574,0.268578
0.205,0.270053,0.270048
0.215,0.271348,0.271335
0.225,0.272461,0.272439
0.235,0.273392,0.273362
0.245,0.274141,0.274102
0.255,0.274709,0.274661
0.265,0.275096,0.27504
0.275,0.275302,0.275237
0.285,0.275327,0.275255
0.295,0.275173,0.275094
0.305,0.274839,0.274753
0.315,0.274326,0.274233
0.325,0.273635,0.273535
0.335,0.272765,0.272659
0.345,0.271717,0.271606
0.355,0.270492,0.270376
0.365,0.269089,0.26897
0.375,0.26751,0.267387
0.385,0.265755,0.265629
0.395,0.263824,0.263696
0.405,0.261718,0.261588
0.415,0.259437,0.259306
0.425,0.256982,0.256851
0.435,0.254352,0.254222
0.445,0.251549,0.251421
0.455,0.248574,0.248448
0.465,0.245425,0.245303
0.475,0.242105,0.241987
0.485,0.238613,0.2385
0.495,0.23495,0.234843
0.505,0.231117,0.231017
0.515,0.227114,0.227022
0.525,0.222941,0.222858
0.535,0.2186,0.218526
0.545,0.21409,0.214027
0.555,0.209412,0.209361
0.565,0.204568,0.204529
0.575,0.199556,0.199531
0.585,0.194379,0.194368
0.595,0.189036,0.18904
0.605,0.183528,0.183548
0.615,0.177856,0.177892
0.625,0.172021,0.172074
0.635,0.166022,0.166093
0.645,0.159861,0.15995
0.655,0.153539,0.153646
0.665,0.147055,0.147182
0.675,0.140411,0.140558
0.685,0.133608,0.133774
0.695,0.126646,0.126832
0.705,0.119525,0.119731
0.715,0.112247,0.112473
0.725,0.104813,0.105058
0.735,0.0972221,0.0974863
0.745,0.0894763,0.0897593
0.755,0.0815762,0.0818772
0.765,0.0735224,0.0738406
0.775,0.0653159,0.0656504
0.785,0.0569575,0.057307
0.795,0.048448,0.0488112
0.805,0.0397882,0.0401636
0.815,0.0309791,0.0313648
0.825,0.0220216,0.0224155
0.835,0.0129166,0.0133165
0.845,0.00366493,0.00406831
0.855,-0.00573233,-0.00532832
0.865,-0.0152742,-0.0148727
0.875,-0.0249598,-0.0245642
0.885,-0.0347881,-0.0344021
0.895,-0.0447579,-0.0443857
0.905,-0.0548683,-0.0545143
0.915,-0.0651182,-0.0647871
0.925,-0.0755064,-0.0752036
0.935,-0.086032,-0.0857629
0.945,-0.0966936,-0.0964644
0.955,-0.10749,-0.107307
0.965,-0.11842,-0.118291
0.975,-0.129483,-0.129414
