x,y
0,0
0.01,0.00995033
0.02,0.0198026
0.03,0.0295588
0.04,0.0392207
0.05,0.0487902
0.06,0.0582689
0.07,0.0676586
0.08,0.076961
0.09,0.0861777
0.1,0.0953102
0.11,0.10436
0.12,0.113329
0.13,0.122218
0.14,0.131028
0.15,0.139762
0.16,0.14842
0.17,0.157004
0.18,0.165514
0.19,0.173953
0.2,0.182322
0.21,0.19062
0.22,0.198851
0.23,0.207014
0.24,0.215111
0.25,0.223144
0.26,0.231112
0.27,0.239017
0.28,0.24686
0.29,0.254642
0.3,0.262364
0.31,0.270027
0.32,0.277632
0.33,0.285179
0.34,0.29267
0.35,0.300105
0.36,0.307485
0.37,0.314811
0.38,0.322083
0.39,0.329304
0.4,0.336472
0.41,0.34359
0.42,0.350657
0.43,0.357674
0.44,0.364643
0.45,0.371564
0.46,0.378436
0.47,0.385262
0.48,0.392042
0.49,0.398776
0.5,0.405465
0.51,0.41211
0.52,0.41871
0.53,0.425268
0.54,0.431782
0.55,0.438255
0.56,0.444686
0.57,0.451076
0.58,0.457425
0.59,0.463734
0.6,0.470004
0.61,0.476234
0.62,0.482426
0.63,0.48858
0.64,0.494696
0.65,0.500775
0.66,0.506818
0.67,0.512824
0.68,0.518794
0.69,0.524729
0.7,0.530628
0.71,0.536493
0.72,0.542324
0.73,0.548121
0.74,0.553885
0.75,0.559616
0.76,0.565314
0.77,0.57098
0.78,0.576613
0.79,0.582216
0.8,0.587787
0.81,0.593327
0.82,0.598837
0.83,0.604316
0.84,0.609766
0.85,0.615186
0.86,0.620576
0.87,0.625938
0.88,0.631272
0.89,0.636577
0.9,0.641854
0.91,0.647103
0.92,0.652325
0.93,0.65752
0.94,0.662688
0.95,0.667829
0.96,0.672944
0.97,0.678034
0.98,0.683097
0.99,0.688135
1,0.693147
1.01,0.698135
1.02,0.703098
1.03,0.708036
1.04,0.71295
1.05,0.71784
1.06,0.722706
1.07,0.727549
1.08,0.732368
1.09,0.737164
1.1,0.741937
1.11,0.746688
1.12,0.751416
1.13,0.756122
1.14,0.760806
1.15,0.765468
1.16,0.770108
1.17,0.774727
1.18,0.779325
1.19,0.783902
1.2,0.788457
1.21,0.792993
1.22,0.797507
1.23,0.802002
1.24,0.806476
1.25,0.81093
1.26,0.815365
1.27,0.81978
1.28,0.824175
1.29,0.828552
1.3,0.832909
1.31,0.837248
1.32,0.841567
1.33,0.845868
1.34,0.850151
1.35,0.854415
1.36,0.858662
1.37,0.86289
1.38,0.8671
1.39,0.871293
1.4,0.875469
1.41,0.879627
1.42,0.883768
1.43,0.887891
1.44,0.891998
1.45,0.896088
1.46,0.900161
1.47,0.904218
1.48,0.908259
1.49,0.912283
1.5,0.916291
1.51,0.920283
1.52,0.924259
1.53,0.928219
1.54,0.932164
1.55,0.936093
1.56,0.940007
1.57,0.943906
1.58,0.947789
1.59,0.951658
1.6,0.955511
1.61,0.95935
1.62,0.963174
1.63,0.966984
1.64,0.970779
1.65,0.97456
1.66,0.978326
1.67,0.982078
1.68,0.985817
1.69,0.989541
1.7,0.993252
1.71,0.996949
1.72,1.00063
1.73,1.0043
1.74,1.00796
1.75,1.0116
1.76,1.01523
1.77,1.01885
1.78,1.02245
1.79,1.02604
1.8,1.02962
1.81,1.03318
1.82,1.03674
1.83,1.04028
1.84,1.0438
1.85,1.04732
1.86,1.05082
1.87,1.05431
1.88,1.05779
1.89,1.06126
1.9,1.06471
1.91,1.06815
1.92,1.07158
1.93,1.075
1.94,1.07841
1.95,1.08181
1.96,1.08519
1.97,1.08856
1.98,1.09192
1.99,1.09527
