x,y
0,0
0.0666667,0.0645385
0.133333,0.125163
0.2,0.182322
0.266667,0.236389
0.333333,0.287682
0.4,0.336472
0.466667,0.382992
0.533333,0.427444
0.6,0.470004
0.666667,0.510826
0.733333,0.550046
0.8,0.587787
0.866667,0.624154
0.933333,0.659246
1,0.693147
1.06667,0.725937
1.13333,0.757686
1.2,0.788457
1.26667,0.81831
1.33333,0.847298
1.4,0.875469
1.46667,0.902868
1.53333,0.929536
1.6,0.955511
1.66667,0.980829
1.73333,1.00552
1.8,1.02962
1.86667,1.05315
1.93333,1.07614
2,1.09861
