x,y
0,1
0.01,1.01
0.02,1.02
0.03,1.02999
0.04,1.03998
0.05,1.04996
0.06,1.05993
0.07,1.06988
0.08,1.07982
0.09,1.08975
0.1,1.09965
0.11,1.10953
0.12,1.11939
0.13,1.12922
0.14,1.13902
0.15,1.14879
0.16,1.15852
0.17,1.16822
0.18,1.17787
0.19,1.18749
0.2,1.19706
0.21,1.20658
0.22,1.21604
0.23,1.22546
0.24,1.23481
0.25,1.24411
0.26,1.25334
0.27,1.26251
0.28,1.2716
0.29,1.28062
0.3,1.28957
0.31,1.29844
0.32,1.30722
0.33,1.31591
0.34,1.32452
0.35,1.33303
0.36,1.34145
0.37,1.34976
0.38,1.35797
0.39,1.36607
0.4,1.37406
0.41,1.38193
0.42,1.38969
0.43,1.39731
0.44,1.40481
0.45,1.41218
0.46,1.41941
0.47,1.4265
0.48,1.43345
0.49,1.44025
0.5,1.44689
0.51,1.45337
0.52,1.4597
0.53,1.46585
0.54,1.47183
0.55,1.47764
0.56,1.48327
0.57,1.48871
0.58,1.49395
0.59,1.49901
0.6,1.50386
0.61,1.50851
0.62,1.51294
0.63,1.51716
0.64,1.52116
0.65,1.52493
0.66,1.52847
0.67,1.53177
0.68,1.53483
0.69,1.53765
0.7,1.5402
0.71,1.5425
0.72,1.54453
0.73,1.5463
0.74,1.54778
0.75,1.54899
0.76,1.5499
0.77,1.55052
0.78,1.55084
0.79,1.55085
0.8,1.55055
0.81,1.54993
0.82,1.54898
0.83,1.54771
0.84,1.54609
0.85,1.54413
0.86,1.54181
0.87,1.53914
0.88,1.53611
0.89,1.5327
0.9,1.52891
0.91,1.52474
0.92,1.52018
0.93,1.51522
0.94,1.50985
0.95,1.50406
0.96,1.49786
0.97,1.49123
0.98,1.48416
0.99,1.47665
1,1.46869
1.01,1.46028
1.02,1.4514
1.03,1.44204
1.04,1.43221
1.05,1.42188
1.06,1.41107
1.07,1.39974
1.08,1.38791
1.09,1.37556
1.1,1.36268
1.11,1.34926
1.12,1.3353
1.13,1.32079
1.14,1.30572
1.15,1.29008
1.16,1.27387
1.17,1.25707
1.18,1.23967
1.19,1.22168
1.2,1.20307
1.21,1.18385
1.22,1.16399
1.23,1.1435
1.24,1.12237
1.25,1.10058
1.26,1.07813
1.27,1.05501
1.28,1.03121
1.29,1.00672
1.3,0.981533
1.31,0.955637
1.32,0.929025
1.33,0.901688
1.34,0.873617
1.35,0.844802
1.36,0.815234
1.37,0.784905
1.38,0.753804
1.39,0.721922
1.4,0.689251
1.41,0.65578
1.42,0.621501
1.43,0.586404
1.44,0.550479
1.45,0.513717
1.46,0.476109
1.47,0.437645
1.48,0.398316
1.49,0.358111
1.5,0.317022
1.51,0.275039
1.52,0.232152
1.53,0.188352
1.54,0.14363
1.55,0.0979742
1.56,0.0513768
1.57,0.00382766
1.58,-0.0446828
1.59,-0.0941642
1.6,-0.144626
1.61,-0.196078
1.62,-0.24853
1.63,-0.301992
1.64,-0.356472
1.65,-0.411981
1.66,-0.468528
1.67,-0.526123
1.68,-0.584775
1.69,-0.644493
1.7,-0.705288
1.71,-0.767168
1.72,-0.830144
1.73,-0.894224
1.74,-0.959418
1.75,-1.02574
1.76,-1.09318
1.77,-1.16178
1.78,-1.23152
1.79,-1.30242
1.8,-1.37449
1.81,-1.44774
1.82,-1.52218
1.83,-1.59781
1.84,-1.67465
1.85,-1.7527
1.86,-1.83198
1.87,-1.91249
1.88,-1.99423
1.89,-2.07723
1.9,-2.16148
1.91,-2.247
1.92,-2.33379
1.93,-2.42186
1.94,-2.51122
1.95,-2.60189
1.96,-2.69385
1.97,-2.78713
1.98,-2.88173
1.99,-2.97767
