x,y
0,1
0.0666667,1.06656
0.133333,1.13249
0.2,1.19706
0.266667,1.25946
0.333333,1.31879
0.4,1.37406
0.466667,1.42416
0.533333,1.46786
0.6,1.50386
0.666667,1.5307
0.733333,1.54682
0.8,1.55055
0.866667,1.54007
0.933333,1.51347
1,1.46869
1.06667,1.40357
1.13333,1.31583
1.2,1.20307
1.26667,1.06279
1.33333,0.892413
1.4,0.689251
1.46667,0.450562
1.53333,0.173548
1.6,-0.144626
1.66667,-0.506807
1.73333,-0.915831
1.8,-1.37449
1.86667,-1.88551
1.93333,-2.45151
2,-3.07493
