x,y
2,-7.08966
3.37165,5.65973
2.84441,-0.0762161
2.85163,7.54133e-05
2.85162,7.23737e-11
1.85162,7.75444
-0.099029,-0.298822
0.00286882,0.0118587
-0.000879887,1.5525e-05
-0.000884808,2.67843e-11
-1.00088,1.92454
-2.5028,0.258717
-2.81628,0.0242701
-2.85255,0.000334171
-2.85306,6.70874e-08
-2.85306,2.5929e-15
-3.85306,0.40176
-5.57142,0.094938
-6.39895,0.0250244
-6.84388,0.00578932
-7.02993,0.000838544
-7.06757,3.14694e-05
-7.0691,5.08775e-08
-7.0691,1.33736e-13
-8.0691,0.00370353
-8.37734,0.00042385
-8.4229,8.70497e-06
-8.42388,3.9535e-09
-8.42388,8.17818e-16
-9.42388,0.00525593
-11.1043,0.00152185
-12.2063,0.000471165
-13.0093,0.000152958
-13.6563,5.71116e-05
-14.4099,3.78233e-05
-10.4801,0.00256599
-11.7763,0.000778639
-12.6891,0.000246762
-13.3859,8.47798e-05
-14.0312,3.95508e-05
-15.8231,6.83392e-05
-10.857,0.00189106
-12.0336,0.000580991
-12.8795,0.000186488
-13.5435,6.68396e-05
-14.2318,3.7155e-05
-27.4792,2.54739e-06
-21.9789,1.03574e-05
-17.5252,5.46031e-05
-19.8379,1.03139e-05
-21.2432,8.44068e-06
-17.7369,4.94645e-05
-19.7323,1.11523e-05
-21.0353,7.99373e-06
-16.696,6.96043e-05
-23.4483,1.0681e-05
-28.6381,3.17503e-06
-20.319,8.0025e-06
-23.5342,1.04947e-05
-28.1356,2.922e-06
-23.1873,1.11217e-05
-31.7447,1.56216e-06
-33.8488,1.04264e-06
-27.1109,2.42911e-06
-10.8465,0.00190792
-12.0263,0.000585978
-12.8741,0.00018801
-13.5389,6.7287e-05
-14.2253,3.7175e-05
-25.3651,4.61964e-06
-27.0004,2.41955e-06
87.6065,1.49188e-08
94.4047,1.05839e-08
101.208,7.72066e-09
109.574,5.84986e-09
90.6002,1.19349e-08
73.9959,3.10216e-08
87.6549,1.48121e-08
94.356,1.066e-08
101.147,7.77834e-09
109.269,5.76618e-09
84.4775,1.58346e-08
70.4243,2.85173e-08
81.04,2.07664e-08
88.1716,1.36685e-08
94.5443,1.03703e-08
101.453,7.51356e-09
111.276,6.20138e-09
177.492,8.73192e-10
222.599,3.72935e-10
180.251,9.15763e-10
