x,y
2,-2.54483
2.82508,1.27257
2.60387,0.0463827
2.59511,9.85488e-05
2.59509,4.53063e-10
1.59509,3.40333
0.101013,0.163248
0.00260363,0.00555301
-0.000990437,7.6603e-06
-0.000995408,1.46745e-11
-1.001,0.891774
-2.33832,0.109497
-2.57813,0.00718733
-2.59628,4.26625e-05
-2.59638,1.54255e-09
-3.59638,0.260062
-5.63421,0.0614891
-6.6625,0.0192011
-7.45531,0.0078263
-8.75228,0.00921707
-6.77748,0.0166028
-7.56776,0.00725166
-9.28725,0.0116457
-6.43819,0.0253817
-7.25698,0.00937693
-8.22356,0.00711123
-5.69506,0.0579224
-6.70346,0.0182331
-7.49434,0.0076036
-8.90701,0.0099449
-6.79444,0.0162502
-7.58518,0.00718051
-9.40182,0.0120948
-6.17099,0.034834
-7.04427,0.0119167
-7.87796,0.00660833
-49.1828,0.000451819
-60.7928,0.000290972
1748.21,3.26269e-07
2464.16,1.64382e-07
3077.94,1.05681e-07
3648.23,7.52106e-08
903.905,1.22911e-06
1077.55,8.61174e-07
718.317,1.92602e-06
-2065.77,2.34894e-07
-2791.38,1.28111e-07
-4507.95,4.91961e-08
-2935.66,1.15839e-07
-3994.4,6.27531e-08
-6974.5,2.05553e-08
-7979.97,1.57004e-08
-9163.28,1.19052e-08
-3644.39,7.52781e-08
-4168.58,5.7526e-08
-2660.34,1.41147e-07
-1426.21,4.91762e-07
-1630.42,3.76106e-07
-1084.9,8.53016e-07
1272.93,6.18495e-07
680.295,2.14505e-06
1210.16,6.84532e-07
601.666,2.78538e-06
867.174,1.32909e-06
991.417,1.02237e-06
1299.98,5.93103e-07
1516.79,4.33854e-07
809.704,1.53221e-06
960.297,1.08924e-06
1170.39,7.26942e-07
2113.27,2.23467e-07
-1399.4,5.12439e-07
-2658.17,1.41427e-07
-3058.18,1.07096e-07
-5628.26,3.15963e-08
-7917.09,1.59512e-08
-9080.28,1.21225e-08
-11150.3,8.04571e-09
-3936.74,6.45509e-08
-2499.88,1.60253e-07
-2966.26,1.13547e-07
-3448.56,8.41827e-08
-4129.92,5.85617e-08
-11736.7,7.26035e-09
