x_curr,y_curr,x_prev,y_prev
3,2.29834,2,-2.54483
2.52545,-0.360773,3,2.29834
2.58983,-0.0277167,2.52545,-0.360773
2.59519,0.000504569,2.58983,-0.0277167
2.59509,-6.55954e-07,2.59519,0.000504569
2.59509,-1.54392e-11,2.59509,-6.55954e-07
1.59509,3.40333,0.595094,1.10557
0.113945,0.184794,1.59509,3.40333
0.0289036,0.046596,0.113945,0.184794
0.000230505,0.00188975,0.0289036,0.046596
-0.00098152,2.13991e-05,0.000230505,0.00188975
-0.000995402,1.01014e-08,-0.00098152,2.13991e-05
-1.001,0.891774,-2.001,0.276874
-2.45127,0.0595006,-1.001,0.891774
-2.55495,0.0164363,-2.45127,0.0595006
-2.59453,0.000727689,-2.55495,0.0164363
-2.59636,9.83053e-06,-2.59453,0.000727689
-2.59638,6.05552e-09,-2.59636,9.83053e-06
-3.59638,0.260062,-4.59638,0.144675
-5.8502,0.0494716,-3.59638,0.260062
-6.37967,0.0272506,-5.8502,0.0494716
-7.02897,0.0121382,-6.37967,0.0272506
-7.55049,0.0073268,-7.02897,0.0121382
-8.34466,0.00749531,-7.55049,0.0073268
26.9783,0.00113937,-8.34466,0.00749531
33.3103,0.000777689,26.9783,0.00113937
46.9255,0.000445977,33.3103,0.000777689
65.2307,0.000223188,46.9255,0.000445977
83.5687,0.000135177,65.2307,0.000223188
111.734,8.3649e-05,83.5687,0.000135177
157.457,3.98711e-05,111.734,8.3649e-05
199.1,2.58165e-05,157.457,3.98711e-05
275.592,1.33496e-05,199.1,2.58165e-05
357.5,7.8901e-06,275.592,1.33496e-05
475.874,4.46224e-06,357.5,7.8901e-06
629.968,2.49988e-06,475.874,4.46224e-06
826.271,1.46502e-06,629.968,2.49988e-06
1104.17,8.23914e-07,826.271,1.46502e-06
1461.31,4.69019e-07,1104.17,8.23914e-07
1933.3,2.68198e-07,1461.31,4.69019e-07
2563.64,1.52124e-07,1933.3,2.68198e-07
3389.75,8.70258e-08,2563.64,1.52124e-07
4494.13,4.94568e-08,3389.75,8.70258e-08
5947.97,2.8285e-08,4494.13,4.94568e-08
7890.26,1.60727e-08,5947.97,2.8285e-08
10446.5,9.16632e-09,7890.26,1.60727e-08
13839.3,5.22222e-09,10446.5,9.16632e-09
18331.4,2.97602e-09,13839.3,5.22222e-09
24283.2,1.6962e-09,18331.4,2.97602e-09
32171.2,9.66047e-10,24283.2,1.6962e-09
42607.8,5.50771e-10,32171.2,9.66047e-10
56449.5,3.13792e-10,42607.8,5.50771e-10
74777.8,1.78824e-10,56449.5,3.13792e-10
99061.6,1.01899e-10,74777.8,1.78824e-10
131230,5.80698e-11,99061.6,1.01899e-10
173849,3.30872e-11,131230,5.80698e-11
230295,1.88553e-11,173849,3.30872e-11
305078,1.07444e-11,230295,1.88553e-11
404142,6.12248e-12,305078,1.07444e-11
535368,3.48894e-12,404142,6.12248e-12
709216,1.98811e-12,535368,3.48894e-12
939508,1.13291e-12,709216,1.98811e-12
1.24459e+06,6.45576e-13,939508,1.13291e-12
1.64873e+06,3.67879e-13,1.24459e+06,6.45576e-13
2.18411e+06,2.09629e-13,1.64873e+06,3.67879e-13
2.89331e+06,1.19457e-13,2.18411e+06,2.09629e-13
3.83283e+06,6.80707e-14,2.89331e+06,1.19457e-13
